A17;INTITULÉS 17;A38;INTITULÉS 38;A88;INTITULÉS 88;A129;INTITULÉS 129;NAF 732;INTITULÉS 732
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;08;Autres industries extractives;B08Z;Autres industries extractives;0899Z;Autres activités extractives n.c.a.
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;09;Services de soutien aux industries extractives;B09Z;Services de soutien aux industries extractives;0910Z;Activités de soutien à l'extraction d'hydrocarbures
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;09;Services de soutien aux industries extractives;B09Z;Services de soutien aux industries extractives;0990Z;Activités de soutien aux autres industries extractives
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10A;Transformation et conservation de la viande et préparation de produits à base de viande;1011Z;Transformation et conservation de la viande de boucherie
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10A;Transformation et conservation de la viande et préparation de produits à base de viande;1012Z;Transformation et conservation de la viande de volaille
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10A;Transformation et conservation de la viande et préparation de produits à base de viande;1013A;Préparation industrielle de produits à base de viande
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10A;Transformation et conservation de la viande et préparation de produits à base de viande;1013B;Charcuterie
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10B;Transformation et conservation de poisson, de crustacés et de mollusques;1020Z;Transformation et conservation de poisson, de crustacés et de mollusques
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10C;Transformation et conservation de fruits et légumes;1031Z;Transformation et conservation de pommes de terre
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10C;Transformation et conservation de fruits et légumes;1032Z;Préparation de jus de fruits et légumes
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10C;Transformation et conservation de fruits et légumes;1039A;Autre transformation et conservation de légumes
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10C;Transformation et conservation de fruits et légumes;1039B;Transformation et conservation de fruits
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10D;Fabrication d’huiles et graisses végétales et animales;1041A;Fabrication d'huiles et graisses brutes
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10D;Fabrication d’huiles et graisses végétales et animales;1041B;Fabrication d'huiles et graisses raffinées
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10D;Fabrication d’huiles et graisses végétales et animales;1042Z;Fabrication de margarine et graisses comestibles similaires
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10E;Fabrication de produits laitiers;1051A;Fabrication de lait liquide et de produits frais
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10E;Fabrication de produits laitiers;1051B;Fabrication de beurre
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10E;Fabrication de produits laitiers;1051C;Fabrication de fromage
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10E;Fabrication de produits laitiers;1051D;Fabrication d'autres produits laitiers
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10E;Fabrication de produits laitiers;1052Z;Fabrication de glaces et sorbets
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10F;Travail des grains- fabrication de produits amylacés;1061A;Meunerie
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10F;Travail des grains- fabrication de produits amylacés;1061B;Autres activités du travail des grains
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10F;Travail des grains- fabrication de produits amylacés;1062Z;Fabrication de produits amylacés
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10G;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;1071A;Fabrication industrielle de pain et de pâtisserie fraîche
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10G;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;1071B;Cuisson de produits de boulangerie
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10G;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;1071C;Boulangerie et boulangerie-pâtisserie
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10G;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;1071D;Pâtisserie
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10G;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;1072Z;Fabrication de biscuits, biscottes et pâtisseries de conservation
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10G;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;1073Z;Fabrication de pâtes alimentaires
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10H;Fabrication d'autres produits alimentaires;1081Z;Fabrication de sucre
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10H;Fabrication d'autres produits alimentaires;1082Z;Fabrication de cacao, chocolat et de produits de confiserie
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10H;Fabrication d'autres produits alimentaires;1083Z;Transformation du thé et du café
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10H;Fabrication d'autres produits alimentaires;1084Z;Fabrication de condiments et assaisonnements
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10H;Fabrication d'autres produits alimentaires;1085Z;Fabrication de plats préparés
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10H;Fabrication d'autres produits alimentaires;1086Z;Fabrication d'aliments homogénéisés et diététiques
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10H;Fabrication d'autres produits alimentaires;1089Z;Fabrication d'autres produits alimentaires n.c.a.
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10K;Fabrication d'aliments pour animaux;1091Z;Fabrication d'aliments pour animaux de ferme
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;10;Industries alimentaires;C10K;Fabrication d'aliments pour animaux;1092Z;Fabrication d'aliments pour animaux de compagnie
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;11;Fabrication de boissons;C11Z;Fabrication de boissons;1101Z;Production de boissons alcooliques distillées
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;11;Fabrication de boissons;C11Z;Fabrication de boissons;1102A;Fabrication de vins effervescents
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;11;Fabrication de boissons;C11Z;Fabrication de boissons;1102B;Vinification
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;11;Fabrication de boissons;C11Z;Fabrication de boissons;1103Z;Fabrication de cidre et de vins de fruits
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;11;Fabrication de boissons;C11Z;Fabrication de boissons;1104Z;Production d'autres boissons fermentées non distillées
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;11;Fabrication de boissons;C11Z;Fabrication de boissons;1105Z;Fabrication de bière
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;11;Fabrication de boissons;C11Z;Fabrication de boissons;1106Z;Fabrication de malt
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;11;Fabrication de boissons;C11Z;Fabrication de boissons;1107A;Industrie des eaux de table
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;11;Fabrication de boissons;C11Z;Fabrication de boissons;1107B;Production de boissons rafraîchissantes
C1;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;CA;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac;12;Fabrication de produits à base de tabac;C12Z;Fabrication de produits à base de tabac;1200Z;Fabrication de produits à base de tabac
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;13;Fabrication de textiles;C13Z;Fabrication de textiles;1310Z;Préparation de fibres textiles et filature
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;13;Fabrication de textiles;C13Z;Fabrication de textiles;1320Z;Tissage
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;13;Fabrication de textiles;C13Z;Fabrication de textiles;1330Z;Ennoblissement textile
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;13;Fabrication de textiles;C13Z;Fabrication de textiles;1391Z;Fabrication d'étoffes à mailles
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;13;Fabrication de textiles;C13Z;Fabrication de textiles;1392Z;Fabrication d'articles textiles, sauf habillement
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;13;Fabrication de textiles;C13Z;Fabrication de textiles;1393Z;Fabrication de tapis et moquettes
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;13;Fabrication de textiles;C13Z;Fabrication de textiles;1394Z;Fabrication de ficelles, cordes et filets
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;13;Fabrication de textiles;C13Z;Fabrication de textiles;1395Z;Fabrication de non-tissés, sauf habillement
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;13;Fabrication de textiles;C13Z;Fabrication de textiles;1396Z;Fabrication d'autres textiles techniques et industriels
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;13;Fabrication de textiles;C13Z;Fabrication de textiles;1399Z;Fabrication d'autres textiles n.c.a.
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;14;Industrie de l'habillement;C14Z;Industrie de l'habillement;1411Z;Fabrication de vêtements en cuir
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;14;Industrie de l'habillement;C14Z;Industrie de l'habillement;1412Z;Fabrication de vêtements de travail
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;14;Industrie de l'habillement;C14Z;Industrie de l'habillement;1413Z;Fabrication de vêtements de dessus
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;14;Industrie de l'habillement;C14Z;Industrie de l'habillement;1414Z;Fabrication de vêtements de dessous
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;14;Industrie de l'habillement;C14Z;Industrie de l'habillement;1419Z;Fabrication d'autres vêtements et accessoires
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;14;Industrie de l'habillement;C14Z;Industrie de l'habillement;1420Z;Fabrication d'articles en fourrure
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;14;Industrie de l'habillement;C14Z;Industrie de l'habillement;1431Z;Fabrication d'articles chaussants à mailles
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;14;Industrie de l'habillement;C14Z;Industrie de l'habillement;1439Z;Fabrication d'autres articles à mailles
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;15;Industrie du cuir et de la chaussure;C15Z;Industrie du cuir et de la chaussure;1511Z;Apprêt et tannage des cuirs - préparation et teinture des fourrures
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;15;Industrie du cuir et de la chaussure;C15Z;Industrie du cuir et de la chaussure;1512Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie
C5;Fabrication d'autres produits industriels;CB;Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure;15;Industrie du cuir et de la chaussure;C15Z;Industrie du cuir et de la chaussure;1520Z;Fabrication de chaussures
C5;Fabrication d'autres produits industriels;CC;Travail du bois, industries du papier et imprimerie ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles -  fabrication d'articles en vannerie et sparterie;C16Z;Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles- fabrication d’articles en vannerie et sparterie;1610A;Sciage et rabotage du bois, hors imprégnation
C5;Fabrication d'autres produits industriels;CC;Travail du bois, industries du papier et imprimerie ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles -  fabrication d'articles en vannerie et sparterie;C16Z;Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles- fabrication d’articles en vannerie et sparterie;1610B;Imprégnation du bois
C5;Fabrication d'autres produits industriels;CC;Travail du bois, industries du papier et imprimerie ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles -  fabrication d'articles en vannerie et sparterie;C16Z;Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles- fabrication d’articles en vannerie et sparterie;1621Z;Fabrication de placage et de panneaux de bois
C5;Fabrication d'autres produits industriels;CC;Travail du bois, industries du papier et imprimerie ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles -  fabrication d'articles en vannerie et sparterie;C16Z;Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles- fabrication d’articles en vannerie et sparterie;1622Z;Fabrication de parquets assemblés
C5;Fabrication d'autres produits industriels;CC;Travail du bois, industries du papier et imprimerie ;16;Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles -  fabrication d'articles en vannerie et sparterie;C16Z;Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles- fabrication d’articles en vannerie et sparterie;1623Z;Fabrication de charpentes et d'autres menuiseries
